,max_proba,dist_second,entro,training_sample_fraction,accuracy
0,0.0,0.0,2.0,0.914214463840399,0.37700000405311584
1,0.0,0.2,2.0,0.8783042394014963,0.35100001096725464
2,0.0,0.3,2.0,0.8428927680798005,0.3109999895095825
3,0.0,0.4,2.0,0.8064837905236908,0.3490000069141388
4,0.0,0.5,2.0,0.7576059850374065,0.3610000014305115
5,0.45,0.0,2.0,0.8827930174563591,0.32899999618530273
6,0.45,0.2,2.0,0.8673316708229426,0.3449999988079071
7,0.45,0.3,2.0,0.8423940149625935,0.34299999475479126
8,0.45,0.4,2.0,0.8064837905236908,0.37299999594688416
9,0.45,0.5,2.0,0.7576059850374065,0.367000013589859
10,0.5,0.0,2.0,0.8608478802992519,0.3050000071525574
11,0.5,0.2,2.0,0.8533665835411471,0.3490000069141388
12,0.5,0.3,2.0,0.8334164588528679,0.36500000953674316
13,0.5,0.4,2.0,0.8064837905236908,0.3490000069141388
14,0.5,0.5,2.0,0.7576059850374065,0.38100001215934753
15,0.55,0.0,2.0,0.8299251870324189,0.36500000953674316
16,0.55,0.2,2.0,0.8269326683291771,0.3149999976158142
17,0.55,0.3,2.0,0.8164588528678304,0.3089999854564667
18,0.55,0.4,2.0,0.800498753117207,0.32899999618530273
19,0.55,0.5,2.0,0.7576059850374065,0.3409999907016754
20,0.6,0.0,2.0,0.7980049875311721,0.32899999618530273
21,0.6,0.2,2.0,0.7980049875311721,0.35499998927116394
22,0.6,0.3,2.0,0.7945137157107232,0.36500000953674316
23,0.6,0.4,2.0,0.7855361596009975,0.36500000953674316
24,0.6,0.5,2.0,0.7551122194513715,0.3089999854564667
